"id";"card_number";"transaction_date";"value";"segment"
CTID68039321;"2893-7786-7528-2338";2016-11-20;19915;SEG24
CTID48539550;"4806-6889-9908-7496";2016-05-26;11720;SEG15
CTID11264842;"5734-5619-8469-4044";2016-02-04;891;SEG12
CTID12917735;"3762-3694-9841-5446";2016-11-25;39966;SEG14
CTID15652294;"5960-5753-3689-8262";2016-06-26;28174;SEG23
CTID40680938;"6620-4005-4574-6263";2016-03-05;44365;SEG21
CTID92582137;"1661-3809-5334-2155";2016-04-08;15585;SEG22
CTID39949884;"8217-2336-2393-6960";2016-03-18;27937;SEG13
CTID42197708;"1519-5130-5810-8539";2016-12-15;12880;SEG24
CTID66316500;"5160-8427-6529-3274";2016-09-27;47831;SEG12
CTID59601937;"1893-8853-9900-8478";2016-09-17;44809;SEG16
CTID33559101;"7416-4529-6690-5703";2016-01-15;43234;SEG23
CTID26089338;"2854-6117-5924-2770";2016-04-25;24782;SEG18
CTID60670788;"2056-7091-8023-1914";2016-04-12;18902;SEG22
CTID71631263;"9546-5205-4705-9447";2016-02-10;23271;SEG14
CTID30659049;"3652-5528-4808-8216";2016-07-17;7110;SEG21
CTID27268602;"9721-7299-5635-3504";2016-01-02;31183;SEG25
CTID85611164;"8078-7413-3861-2246";2016-02-29;8926;SEG14
CTID35299934;"3708-8801-1521-8042";2016-10-26;36465;SEG11
CTID89828724;"1187-8674-2708-3972";2016-03-12;44019;SEG12
CTID59693644;"3620-5235-2101-3391";2016-07-23;37689;SEG15
CTID53240632;"3810-4783-2207-7703";2016-12-28;29856;SEG13
CTID48745881;"9779-2601-5260-2896";2016-12-05;9237;SEG21
CTID81603273;"9162-3465-6654-4891";2016-04-03;36616;SEG22
CTID16296029;"3970-3872-2591-7629";2016-04-24;43502;SEG20
CTID41952336;"9314-8332-5195-8287";2016-10-08;43336;SEG20
CTID98602025;"1559-8764-1659-4317";2016-06-15;7762;SEG20
CTID78073273;"9369-6196-2597-1730";2016-08-29;35035;SEG16
CTID21675850;"1336-9200-1264-2551";2016-09-21;4471;SEG18
CTID21680526;"4933-8895-6001-8577";2016-02-04;40038;SEG11
CTID75668104;"4818-7275-3513-3939";2016-08-23;4842;SEG19
CTID82515633;"9946-6939-3033-9593";2016-03-10;1028;SEG15
CTID18094390;"3620-5235-2101-3391";2016-01-26;46722;SEG13
CTID70371572;"6197-7150-9163-8287";2016-11-15;37334;SEG23
CTID75962780;"2949-1972-1300-6680";2016-02-16;22750;SEG15
CTID47470245;"5380-2273-3524-9795";2016-11-17;11786;SEG22
CTID43291858;"4139-7870-9436-2923";2016-04-05;31455;SEG15
CTID89983002;"5144-5591-4640-2208";2016-05-25;955;SEG14
CTID69829785;"2347-2804-9899-1830";2016-05-29;48141;SEG24
CTID43911678;"4349-5976-1214-5524";2016-01-13;10556;SEG20
CTID19010491;"7558-5459-8235-5737";2016-10-24;11022;SEG21
CTID42442159;"3922-3698-6304-1975";2016-02-24;30250;SEG24
CTID16605900;"5129-6974-6371-2964";2016-11-13;11833;SEG15
CTID55338924;"9933-8699-5268-4345";2016-03-13;17815;SEG12
CTID24250630;"7665-2468-6158-3511";2016-04-07;48992;SEG23
CTID63583221;"9083-6711-4313-1181";2016-01-04;30243;SEG17
CTID40698127;"2056-7091-8023-1914";2016-05-02;46845;SEG22
CTID16086102;"3594-2190-6052-1265";2016-07-02;298;SEG17
CTID53983054;"4991-3814-8016-9048";2016-06-29;44683;SEG13
CTID18392337;"5982-5047-2653-9052";2016-07-11;15951;SEG12
CTID83549292;"6042-2856-7280-2925";2016-04-03;13436;SEG21
CTID82606233;"6012-7799-2842-7221";2016-08-20;18360;SEG19
CTID92385937;"3007-2083-4197-9770";2016-05-01;13662;SEG12
CTID59944572;"7662-3108-4951-8587";2016-09-29;43846;SEG18
CTID45512620;"4991-3814-8016-9048";2016-12-20;6971;SEG25
CTID43929645;"4784-5120-3581-6184";2016-02-01;18590;SEG22
CTID61467181;"4525-4818-6014-8945";2016-07-06;32949;SEG21
CTID15616641;"6171-3568-7740-8072";2016-03-14;14959;SEG11
CTID25236783;"4420-9925-9792-9113";2016-01-04;32713;SEG17
CTID79049488;"8272-7202-4112-6502";2016-06-22;1364;SEG23
CTID69741696;"5206-5979-9383-4538";2016-02-22;5245;SEG13
CTID70923033;"3140-6494-9869-5893";2016-09-19;40837;SEG13
CTID90508994;"5175-8965-9249-9021";2016-05-22;24805;SEG11
CTID52843489;"1629-9566-3285-2123";2016-01-16;48307;SEG17
CTID44543315;"3196-5064-6247-7113";2016-03-03;29216;SEG17
CTID35725590;"8783-7271-8493-7931";2016-03-19;42794;SEG20
CTID53787315;"8869-7604-9618-3740";2016-06-19;14320;SEG11
CTID39919953;"6617-5782-1394-1632";2016-09-02;29525;SEG11
CTID65663686;"7677-5937-2671-3687";2016-05-04;49488;SEG16
CTID50558449;"4246-1369-3659-8804";2016-05-06;6984;SEG23
CTID91780820;"4610-9984-7768-4610";2016-02-07;692;SEG11
CTID41830600;"8769-1185-5731-6569";2016-10-25;27787;SEG12
CTID65915545;"1438-6906-2509-8219";2016-10-17;8022;SEG22
CTID30116647;"3708-8801-1521-8042";2016-10-28;29076;SEG25
CTID87623994;"8578-3662-1951-5720";2016-03-18;9421;SEG23
CTID84270730;"5283-6135-5709-4452";2016-12-11;28644;SEG18
CTID50143807;"7966-2894-6066-2530";2016-05-16;22375;SEG21
CTID30189023;"1749-4777-2532-7766";2016-07-23;40209;SEG11
CTID54999800;"6385-4594-8055-9081";2016-12-20;26707;SEG16
CTID41909175;"6258-3903-6637-5620";2016-03-29;22281;SEG25
CTID91649543;"8106-9789-1679-2552";2016-07-16;42813;SEG25
CTID21139336;"3970-3872-2591-7629";2016-03-06;33627;SEG14
CTID27591627;"6514-4444-5642-2615";2016-12-04;15317;SEG24
CTID51286588;"6085-9783-3284-2783";2016-12-25;16064;SEG13
CTID83008873;"6258-3903-6637-5620";2016-06-18;6739;SEG25
CTID76945955;"3458-8126-3660-8686";2016-03-18;15807;SEG16
CTID75986316;"5591-5619-8809-5454";2016-04-10;49259;SEG25
CTID17469133;"4819-6940-5506-8061";2016-03-21;24231;SEG11
CTID95635465;"3405-7202-8402-5988";2016-10-25;33486;SEG12
CTID65438518;"3544-7836-9589-7635";2016-09-02;31353;SEG13
CTID15442130;"3594-2190-6052-1265";2016-05-17;35852;SEG21
CTID46365299;"5349-1963-8417-8327";2016-04-23;34090;SEG25
CTID19451148;"7908-3850-6633-2606";2016-08-16;7743;SEG18
CTID62140956;"5590-1294-8800-2874";2016-06-19;41228;SEG13
CTID13020269;"9304-8255-4381-2028";2016-02-14;2667;SEG21
CTID64575273;"9157-2802-8374-1145";2016-11-08;2418;SEG17
CTID80396057;"1187-8674-2708-3972";2016-12-20;46212;SEG24
CTID44242497;"3440-3330-5015-4988";2016-02-11;21350;SEG12
CTID13823565;"4262-7103-6508-4214";2016-11-15;23886;SEG20
CTID73092320;"5619-4425-5473-6565";2016-06-13;14050;SEG17
CTID98838546;"2046-1892-2379-9050";2016-06-09;8199;SEG20
CTID90565262;"2992-8127-2278-9771";2016-11-12;4093;SEG19
CTID79929631;"2422-2354-4628-4556";2016-02-28;8958;SEG18
CTID23946761;"7708-8807-7837-8812";2016-02-26;799;SEG14
CTID12303087;"7658-7645-4568-1461";2016-11-13;26431;SEG12
CTID83705853;"1259-5241-3561-1773";2016-12-21;3861;SEG16
CTID93893582;"7276-7349-6334-3809";2016-02-15;7709;SEG21
CTID75411359;"3001-2844-6540-3608";2016-01-21;4223;SEG19
CTID88529229;"8115-7743-6213-9284";2016-08-05;28528;SEG13
CTID33921395;"2264-2870-6785-2725";2016-03-07;47877;SEG25
CTID43355946;"1235-8656-9164-2644";2016-08-06;37494;SEG11
CTID61789528;"6540-2862-2962-5109";2016-09-08;934;SEG25
CTID90824629;"1585-2708-4693-1454";2016-06-24;10339;SEG14
CTID75958813;"6025-2610-4001-6680";2016-04-18;460;SEG19
CTID32765855;"5533-2042-7236-9790";2016-07-14;16426;SEG25
CTID74195846;"8691-3939-1859-5937";2016-08-14;42144;SEG19
CTID12997336;"3697-6001-4909-5350";2016-08-25;8076;SEG25
CTID48358803;"2893-7786-7528-2338";2016-07-13;29739;SEG25
CTID31895189;"9458-1130-5333-6475";2016-12-01;44822;SEG16
CTID74583185;"8869-7604-9618-3740";2016-07-29;6126;SEG19
CTID47991566;"8578-3662-1951-5720";2016-03-17;5910;SEG22
CTID13376450;"1355-1728-8274-9593";2016-02-06;30490;SEG16
CTID75163586;"8836-7078-5752-6312";2016-10-18;37933;SEG21
CTID21977092;"6272-7021-2748-1471";2016-12-31;8509;SEG25
CTID48926797;"9310-6095-5617-9905";2016-07-04;38288;SEG18
CTID33048584;"1123-9777-7335-9167";2016-03-04;34653;SEG12
CTID24864485;"8052-5734-6162-9591";2016-07-02;17364;SEG16
CTID56494020;"5556-4557-4566-1540";2016-01-07;28517;SEG23
CTID27779169;"8467-5358-5569-3718";2016-08-31;3698;SEG19
CTID70744813;"8031-9022-9952-9605";2016-01-25;32301;SEG16
CTID30191214;"7837-4036-5999-1672";2016-09-10;4733;SEG20
CTID52649010;"8138-6235-7062-6142";2016-02-01;36457;SEG13
CTID12126014;"7168-9862-2659-8550";2016-09-24;12837;SEG22
CTID34518385;"8725-3610-8060-2617";2016-08-15;12587;SEG22
CTID69100100;"6315-7338-3105-9947";2016-07-19;4087;SEG21
CTID35756391;"5814-6146-3149-1775";2016-03-05;17776;SEG25
CTID85896280;"4818-7275-3513-3939";2016-07-05;38297;SEG23
CTID19839345;"5811-4353-3490-5513";2016-05-18;11862;SEG22
CTID94998392;"2911-7555-3093-9231";2016-10-23;5919;SEG24
CTID16322007;"6148-9835-7115-4405";2016-11-14;25241;SEG21
CTID75607282;"1893-8853-9900-8478";2016-06-02;25764;SEG11
CTID58554308;"5206-5979-9383-4538";2016-11-08;17289;SEG20
CTID35703242;"5778-9566-9086-7555";2016-02-24;27347;SEG12
CTID96560832;"3170-4662-9297-6384";2016-04-04;38074;SEG22
CTID88461344;"2056-7091-8023-1914";2016-08-15;20862;SEG16
CTID28444473;"9304-4488-7872-2868";2016-01-09;31469;SEG25
CTID61555638;"1825-7669-6621-9045";2016-01-07;7154;SEG13
CTID23587070;"1481-2536-2178-7547";2016-07-14;21366;SEG22
CTID99068121;"2116-6906-9722-9824";2016-05-02;26449;SEG25
CTID94969373;"1693-2036-4352-9386";2016-03-31;9748;SEG13
CTID17733602;"4349-5976-1214-5524";2016-09-25;45332;SEG11
CTID25573916;"4646-8260-8197-7078";2016-01-25;34588;SEG16
CTID49999419;"8757-6814-8721-3839";2016-06-12;13153;SEG20
CTID55773811;"3001-2844-6540-3608";2016-10-19;10580;SEG14
CTID99177828;"2595-8621-2855-9119";2016-05-08;24989;SEG21
CTID61562561;"4818-7275-3513-3939";2016-02-28;19103;SEG18
CTID47844980;"9391-7086-9113-4893";2016-03-23;1556;SEG25
CTID13611468;"1782-5331-5899-1813";2016-05-30;25991;SEG14
CTID17823791;"7662-3108-4951-8587";2016-03-07;12460;SEG22
CTID44725599;"4203-2936-4855-8802";2016-01-08;26731;SEG11
CTID60768509;"4092-8604-7363-3393";2016-10-15;34236;SEG23
CTID12416592;"8614-1547-9524-8444";2016-10-01;11085;SEG24
CTID85625581;"4933-8895-6001-8577";2016-10-02;31949;SEG18
CTID20690481;"3380-5311-6073-9478";2016-12-17;6539;SEG14
CTID57279911;"3313-4024-5109-8235";2016-04-24;25045;SEG13
CTID13393523;"5018-8635-8433-6614";2016-11-01;21890;SEG23
CTID61412164;"2535-9251-5633-3656";2016-03-20;40794;SEG24
CTID50439096;"4203-2936-4855-8802";2016-07-26;16334;SEG15
CTID32605313;"4661-5769-5059-2114";2016-07-10;49544;SEG15
CTID98805399;"5616-5526-4836-1962";2016-10-10;5785;SEG22
CTID23815030;"3323-8332-7133-7008";2016-09-13;15582;SEG15
CTID79576450;"5960-5753-3689-8262";2016-05-14;31454;SEG21
CTID80817022;"6321-2048-7733-8765";2016-05-24;20072;SEG20
CTID18918004;"8578-3662-1951-5720";2016-03-25;24279;SEG20
CTID37642297;"6171-3568-7740-8072";2016-07-02;30931;SEG12
CTID56840521;"2046-1892-2379-9050";2016-11-17;20234;SEG20
CTID72636226;"4427-5380-8182-9668";2016-11-15;10310;SEG23
CTID28267863;"3170-4662-9297-6384";2016-09-20;7211;SEG12
CTID79611141;"6492-5655-8241-3530";2016-11-10;40319;SEG17
CTID29551810;"6994-7925-9044-3458";2016-07-17;28721;SEG19
CTID64251442;"2017-7197-7814-9950";2016-10-09;18011;SEG25
CTID37175733;"7708-8807-7837-8812";2016-05-04;24988;SEG25
CTID20396477;"4818-7275-3513-3939";2016-01-10;30876;SEG22
CTID20122867;"7296-3224-2880-5747";2016-03-13;38144;SEG18
CTID23031292;"7168-9862-2659-8550";2016-11-02;8467;SEG20
CTID35472129;"5731-9804-7859-1641";2016-02-21;35341;SEG20
CTID55936882;"1336-9200-1264-2551";2016-11-29;34367;SEG21
CTID11604363;"8305-2272-4553-4911";2016-02-22;35291;SEG16
CTID33305453;"7224-9964-4793-3939";2016-08-08;43458;SEG14
CTID19610434;"7908-8365-2086-2481";2016-08-02;5013;SEG13
CTID22764343;"9843-6858-7863-1891";2016-08-26;43557;SEG11
CTID81542740;"7299-3529-7767-1695";2016-04-03;27320;SEG19
CTID59764726;"5616-5526-4836-1962";2016-08-25;4195;SEG13
CTID77948981;"5984-2442-3351-3695";2016-07-14;19768;SEG15
CTID70316797;"2764-7023-8396-5255";2016-03-16;37233;SEG20
CTID13984820;"6479-5593-2105-9060";2016-01-30;42559;SEG25
CTID90027280;"5175-8965-9249-9021";2016-09-19;21967;SEG15
CTID18222382;"7416-4529-6690-5703";2016-06-03;21563;SEG25
CTID13057728;"6075-5795-3555-1281";2016-10-07;7836;SEG19
CTID52533613;"3168-6552-9936-1500";2016-01-12;22358;SEG18
CTID37574090;"1559-8764-1659-4317";2016-11-05;48647;SEG11
CTID61925875;"2447-6299-5016-4953";2016-05-21;2496;SEG16
CTID15241575;"1616-5911-1676-5466";2016-10-31;18080;SEG17
CTID32171893;"5592-8244-5701-5100";2016-03-18;1440;SEG12
CTID62525966;"2893-7786-7528-2338";2016-06-06;30226;SEG19
CTID69605488;"6321-2048-7733-8765";2016-01-15;27387;SEG22
CTID22674277;"9386-8854-6115-4075";2016-11-24;14525;SEG19
CTID68117922;"8066-8437-2479-2481";2016-04-28;9327;SEG16
CTID94424844;"7504-5906-9389-8905";2016-07-24;38180;SEG20
CTID46567540;"8467-5358-5569-3718";2016-02-01;35203;SEG21
CTID62363787;"6025-2610-4001-6680";2016-05-13;8781;SEG24
CTID95703581;"4864-7119-5608-7611";2016-12-21;42613;SEG22
CTID12596740;"6042-2856-7280-2925";2016-11-30;30370;SEG15
CTID72228862;"7290-4771-9163-1291";2016-07-05;12397;SEG25
CTID53344391;"8486-4186-7122-3452";2016-08-03;44071;SEG22
CTID50717550;"9161-8723-1217-5269";2016-12-30;44585;SEG24
CTID62780951;"9369-6196-2597-1730";2016-06-11;10374;SEG25
CTID24362182;"8951-3220-4809-9797";2016-07-03;46083;SEG11
CTID37223243;"7900-3001-7632-4005";2016-02-04;18853;SEG17
CTID55242397;"5591-5619-8809-5454";2016-08-25;9006;SEG23
CTID84471784;"6765-2732-8888-1318";2016-12-20;28984;SEG24
CTID17151903;"2595-7800-1142-5225";2016-04-09;2850;SEG24
CTID63229719;"3458-8126-3660-8686";2016-05-28;29795;SEG14
CTID69350091;"8361-7488-5303-1801";2016-08-16;10276;SEG13
CTID61255253;"2264-2870-6785-2725";2016-05-09;10241;SEG23
CTID89563048;"5962-5634-2696-2739";2016-05-27;17146;SEG25
CTID18768516;"5984-2442-3351-3695";2016-01-06;37875;SEG22
CTID88885850;"9517-7826-1862-6726";2016-07-07;27340;SEG12
CTID83294388;"3313-4024-5109-8235";2016-11-24;6421;SEG17
CTID68419215;"6197-7150-9163-8287";2016-10-15;6912;SEG16
CTID70663216;"4973-1293-1664-2086";2016-03-22;29436;SEG16
CTID50637354;"9356-9491-6534-8313";2016-10-07;35708;SEG11
CTID87252789;"7141-7294-3956-4408";2016-07-03;8919;SEG15
CTID77629054;"1765-4019-5141-9230";2016-03-01;19503;SEG20
CTID43380685;"4937-6752-6970-3163";2016-02-20;25946;SEG22
CTID62078493;"5296-2987-4365-6870";2016-02-13;49505;SEG15
CTID52345227;"8031-9022-9952-9605";2016-12-14;43491;SEG12
CTID56880947;"3914-1379-8974-9157";2016-06-14;48045;SEG12
CTID87881979;"5144-5591-4640-2208";2016-07-07;12732;SEG18
CTID58922027;"5540-8588-7666-7798";2016-02-11;31656;SEG19
CTID36538948;"3114-9778-2542-3154";2016-11-07;32283;SEG20
CTID61223425;"8214-9590-3044-1216";2016-01-04;3742;SEG14
CTID75811385;"3167-9604-1650-2605";2016-05-16;28846;SEG16
CTID95445736;"5747-7372-2770-2325";2016-06-09;7410;SEG22
CTID56697573;"2495-1344-4998-6045";2016-06-04;27109;SEG24
CTID37261063;"4138-5166-7490-1188";2016-06-13;16950;SEG17
CTID55806005;"1355-1728-8274-9593";2016-09-09;25742;SEG22
CTID74960781;"1559-8764-1659-4317";2016-03-21;46646;SEG25
CTID95613581;"4587-3535-8224-4301";2016-07-06;27797;SEG12
CTID50366321;"3467-4873-4196-4795";2016-07-02;49296;SEG20
CTID78874300;"2595-7800-1142-5225";2016-03-15;29176;SEG13
CTID55916016;"3513-5475-4629-7570";2016-05-09;3825;SEG13
CTID13529302;"8249-2687-5339-2078";2016-09-06;48868;SEG22
CTID12164601;"9425-1481-6545-6190";2016-10-23;29890;SEG25
CTID45974171;"3698-9867-4865-5497";2016-06-20;19308;SEG14
CTID49220021;"9304-8255-4381-2028";2016-11-01;44763;SEG18
CTID67981131;"3544-7836-9589-7635";2016-02-03;46616;SEG12
CTID33667206;"7586-6475-9618-3909";2016-09-04;41315;SEG15
CTID97208028;"8135-1903-7706-2260";2016-07-25;15405;SEG20
CTID31276879;"9386-8854-6115-4075";2016-08-18;5476;SEG20
CTID49169480;"1259-5241-3561-1773";2016-11-09;33655;SEG22
CTID30271092;"3146-4961-6964-4229";2016-01-04;13788;SEG11
CTID89585792;"1449-4529-1480-3546";2016-12-10;31139;SEG24
CTID94701458;"5094-8484-5014-6152";2016-10-13;27964;SEG25
CTID32725523;"8793-4049-9771-8176";2016-04-07;37585;SEG11
CTID32935594;"5814-6146-3149-1775";2016-06-08;638;SEG25
CTID18814238;"8976-7958-2694-8171";2016-02-22;11525;SEG22
CTID41643260;"7900-3001-7632-4005";2016-06-27;7186;SEG14
CTID28002072;"1127-9633-2269-3119";2016-07-05;6005;SEG18
CTID57989295;"5384-8278-5616-5502";2016-12-04;37941;SEG16
CTID45760792;"3430-7717-8611-4878";2016-03-23;3439;SEG20
CTID31302142;"2649-6876-7496-4123";2016-10-10;32421;SEG17
CTID37572303;"3922-3698-6304-1975";2016-11-07;26701;SEG14
CTID81199202;"5018-8635-8433-6614";2016-03-30;49698;SEG13
CTID37990100;"7725-3576-5626-3317";2016-08-19;6654;SEG25
CTID87725637;"7725-3576-5626-3317";2016-11-18;30462;SEG15
CTID88160445;"4959-5036-1379-1303";2016-12-24;19271;SEG12
CTID85378475;"4843-3880-6792-2259";2016-08-17;31787;SEG12
CTID73132593;"8869-7604-9618-3740";2016-08-24;9048;SEG16
CTID90182533;"4708-4407-9601-6022";2016-07-24;8630;SEG11
CTID81574346;"4843-3880-6792-2259";2016-09-28;20258;SEG21
CTID90593327;"8115-7743-6213-9284";2016-02-05;42697;SEG25
CTID72585499;"6042-2856-7280-2925";2016-06-28;40139;SEG20
CTID69521846;"8031-9022-9952-9605";2016-08-30;49338;SEG14
CTID65304804;"2046-1892-2379-9050";2016-03-30;1868;SEG24
CTID77361267;"4661-5769-5059-2114";2016-03-01;30621;SEG16
CTID14123376;"2370-4593-4826-2349";2016-06-12;32070;SEG24
CTID53641098;"2201-1387-2319-6874";2016-05-29;36149;SEG19
CTID60220521;"9304-8255-4381-2028";2016-01-03;21936;SEG17
CTID84885123;"9304-8255-4381-2028";2016-10-30;29230;SEG19
CTID62153504;"5864-4475-3659-1440";2016-07-15;42916;SEG22
CTID91116251;"3620-5235-2101-3391";2016-08-23;11513;SEG11
CTID95735172;"8522-7783-9262-6673";2016-04-22;156;SEG12
CTID83363765;"7430-6895-6227-4665";2016-09-18;41381;SEG20
CTID99758372;"6272-7021-2748-1471";2016-12-31;48425;SEG11
CTID96816058;"7725-3576-5626-3317";2016-03-29;12996;SEG22
CTID49476304;"9161-8723-1217-5269";2016-03-17;49513;SEG22
CTID95097064;"3748-8048-5227-8162";2016-09-23;43407;SEG21
CTID65606916;"2595-8621-2855-9119";2016-06-29;28458;SEG15
CTID56217127;"4783-2852-8264-4966";2016-02-20;34023;SEG12
CTID67443422;"6321-2048-7733-8765";2016-08-18;35886;SEG15
CTID91791995;"4783-2852-8264-4966";2016-10-21;15874;SEG25
CTID79899936;"4708-4407-9601-6022";2016-09-04;48544;SEG13
CTID63762180;"8528-6154-7390-5081";2016-12-05;44550;SEG15
CTID43564171;"4334-6855-2003-9239";2016-08-05;11803;SEG24
CTID82645178;"8522-7783-9262-6673";2016-05-27;2732;SEG18
CTID77272661;"8272-7202-4112-6502";2016-10-24;8856;SEG14
CTID64031787;"8069-5321-4131-7493";2016-08-06;3034;SEG25
CTID82535754;"3914-1379-8974-9157";2016-09-28;39202;SEG13
CTID65434028;"6575-1457-7757-9141";2016-03-17;43620;SEG24
CTID93010743;"4703-4800-3443-6825";2016-05-20;20188;SEG24
CTID85157286;"8839-9467-3960-3997";2016-10-14;16997;SEG24
CTID98338374;"5144-5591-4640-2208";2016-06-08;43043;SEG12
CTID85827424;"5674-3252-5805-3288";2016-08-19;33571;SEG11
CTID99713372;"1464-1118-5953-6424";2016-04-28;9762;SEG14
CTID51422650;"4040-7464-4000-3447";2016-10-29;2320;SEG16
CTID61830871;"3007-2083-4197-9770";2016-06-26;7915;SEG21
CTID16681771;"2649-6876-7496-4123";2016-12-13;27407;SEG18
CTID36202811;"6343-7134-9888-2361";2016-04-23;45517;SEG19
CTID84926218;"7382-8932-9683-9480";2016-04-01;31515;SEG16
CTID76408966;"8481-9097-2828-9363";2016-09-15;16656;SEG21
CTID67907713;"9302-6470-7735-6371";2016-08-18;5360;SEG18
CTID91668164;"3748-8048-5227-8162";2016-03-14;45678;SEG25
CTID91294895;"7377-5503-9688-7953";2016-11-02;34862;SEG13
CTID88984107;"7212-8665-7734-5918";2016-11-19;29611;SEG13
CTID95556745;"4093-1634-8086-4601";2016-04-14;11723;SEG18
CTID40847533;"5206-5979-9383-4538";2016-04-28;37710;SEG15
CTID18673527;"8685-1513-4751-8018";2016-11-29;35607;SEG11
CTID51505666;"4491-2026-2441-2049";2016-07-05;30945;SEG18
CTID98408057;"1655-7617-4318-5963";2016-03-23;21019;SEG21
CTID25229124;"2347-2804-9899-1830";2016-08-31;14002;SEG22
CTID57225057;"9425-1481-6545-6190";2016-08-25;11460;SEG11
CTID36123729;"9391-7086-9113-4893";2016-02-25;4072;SEG20
CTID34235934;"4783-2852-8264-4966";2016-03-29;41300;SEG17
CTID91771741;"6697-9358-9213-4896";2016-08-27;44842;SEG17
CTID16914224;"8870-2780-7399-5151";2016-01-26;4283;SEG14
CTID49981184;"8691-3939-1859-5937";2016-09-09;29878;SEG17
CTID87723981;"6750-4821-2334-9977";2016-11-09;27120;SEG21
CTID31269003;"8341-5263-4582-7396";2016-10-20;1972;SEG19
CTID13278822;"3440-1978-8156-5313";2016-11-15;40333;SEG19
CTID80788144;"6835-6133-8935-6988";2016-06-25;28751;SEG19
CTID51091446;"7377-5503-9688-7953";2016-07-08;34955;SEG16
CTID95565148;"3461-8685-2115-2963";2016-12-16;42396;SEG17
CTID18296043;"8002-6041-9878-5658";2016-03-16;17329;SEG25
CTID94370405;"6514-4444-5642-2615";2016-09-22;36470;SEG17
CTID48519643;"8052-5734-6162-9591";2016-04-12;5367;SEG24
CTID42448608;"3461-8685-2115-2963";2016-07-05;11884;SEG16
CTID91841117;"9138-8487-6675-4521";2016-02-10;35935;SEG19
CTID30293763;"2830-1922-3225-5423";2016-10-21;18031;SEG24
CTID73149998;"5144-5591-4640-2208";2016-04-07;47900;SEG23
CTID95156861;"6531-1690-4324-2760";2016-04-24;7983;SEG24
CTID56393626;"3461-8685-2115-2963";2016-12-12;19794;SEG25
CTID18324077;"6399-9536-6027-1857";2016-12-14;39417;SEG24
CTID52701307;"6244-6800-1680-7174";2016-03-24;27993;SEG14
CTID29053297;"6045-2636-8278-8875";2016-08-11;42571;SEG25
CTID96666677;"5734-5619-8469-4044";2016-09-13;37975;SEG14
CTID17295494;"8217-2336-2393-6960";2016-05-31;32044;SEG18
CTID96641379;"6479-5593-2105-9060";2016-06-26;2646;SEG13
CTID22239149;"1683-2865-3396-4925";2016-11-10;21842;SEG14
CTID18133843;"6876-7378-4945-3251";2016-08-13;23552;SEG22
CTID91939172;"4803-9564-9708-3189";2016-09-20;21988;SEG20
CTID38498056;"5262-2954-4306-9001";2016-08-28;14168;SEG16
CTID65009094;"1661-3809-5334-2155";2016-06-21;38295;SEG11
CTID70313606;"1438-6906-2509-8219";2016-11-24;47927;SEG20
CTID66913353;"7843-4724-2851-6218";2016-02-16;22830;SEG14
